#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Rahmen|
#T_SP=webanno.custom.Fokus|ROLE_webanno.custom.Fokus:Rahmen_webanno.custom.FokusRahmenLink|webanno.custom.Rahmen|Score|Score_ABC


#Text=Einige halb-domesticierte und andere ganz wilde Unterrassen haben auch ausser den beiden schwarzen Binden noch schwarze Würfelflecke auf den Flügeln.
1-1	0-6	Einige	_	_	_	_	_	
1-2	7-25	halb-domesticierte	_	_	_	_	_	
1-3	26-29	und	_	_	_	_	_	
1-4	30-36	andere	_	_	_	_	_	
1-5	37-41	ganz	_	_	_	_	_	
1-6	42-47	wilde	_	_	_	_	_	
1-7	48-59	Unterrassen	_	_	_	_	_	
1-8	60-65	haben	_	_	_	_	_	
1-9	66-70	auch	_	_	_	_	_	
1-10	71-77	ausser	_	_	_	_	_	
1-11	78-81	den	_	_	_	_	_	
1-12	82-88	beiden	_	_	_	_	_	
1-13	89-98	schwarzen	_	_	_	_	_	
1-14	99-105	Binden	_	_	_	_	_	
1-15	106-110	noch	_	_	_	_	_	
1-16	111-119	schwarze	_	_	_	_	_	
1-17	120-132	Würfelflecke	_	_	_	_	_	
1-18	133-136	auf	_	_	_	_	_	
1-19	137-140	den	_	_	_	_	_	
1-20	141-148	Flügeln	_	_	_	_	_	
1-21	148-149	.	_	_	_	_	_	

#Text=Es [Princip der Zuchtwahl] ist der Zauberstab, mit dessen Hülfe er jede Form in's Leben ruft, die ihm gefällt.«
2-1	153-155	Es	*[3]	_	_	_	_	
2-2	156-157	[	*[3]	_	_	_	_	
2-3	157-164	Princip	*[3]	_	_	_	_	
2-4	165-168	der	*[3]	_	_	_	_	
2-5	169-178	Zuchtwahl	*[3]	_	_	_	_	
2-6	178-179	]	*[3]	_	_	_	_	
2-7	180-183	ist	_	_	_	_	_	
2-8	184-187	der	_	[1]	2-1[3]	0[1]	B[1]	
2-9	188-198	Zauberstab	_	[1]	2-1[3]	0[1]	B[1]	
2-10	198-199	,	_	_	_	_	_	
2-11	200-203	mit	_	_	_	_	_	
2-12	204-210	dessen	_	_	_	_	_	
2-13	211-216	Hülfe	_	_	_	_	_	
2-14	217-219	er	_	_	_	_	_	
2-15	220-224	jede	_	_	_	_	_	
2-16	225-229	Form	_	_	_	_	_	
2-17	230-234	in's	_	_	_	_	_	
2-18	235-240	Leben	_	_	_	_	_	
2-19	241-245	ruft	_	_	_	_	_	
2-20	245-246	,	_	_	_	_	_	
2-21	247-250	die	_	_	_	_	_	
2-22	251-254	ihm	_	_	_	_	_	
2-23	255-262	gefällt	_	_	_	_	_	
2-24	262-263	.	_	_	_	_	_	
2-25	263-264	«	_	_	_	_	_	

#Text=Aber es ist nicht ein Schatten von Beweis zu Gunsten dieser Meinung vorhanden.
3-1	268-272	Aber	_	_	_	_	_	
3-2	273-275	es	_	_	_	_	_	
3-3	276-279	ist	_	_	_	_	_	
3-4	280-285	nicht	_	_	_	_	_	
3-5	286-289	ein	_	[2]	3-8	0[2]	A[2]	
3-6	290-298	Schatten	_	[2]	3-8	0[2]	A[2]	
3-7	299-302	von	_	[2]	3-8	0[2]	A[2]	
3-8	303-309	Beweis	*	_	_	_	_	
3-9	310-312	zu	_	_	_	_	_	
3-10	313-320	Gunsten	_	_	_	_	_	
3-11	321-327	dieser	_	_	_	_	_	
3-12	328-335	Meinung	_	_	_	_	_	
3-13	336-345	vorhanden	_	_	_	_	_	
3-14	345-346	.	_	_	_	_	_	

#Text=Man hat sie schon vor Tausenden von Jahren in mehreren Weltgegenden domesticiert; die älteste Nachricht über Tauben stammt aus der Zeit der fünften ägyptischen Dynastie, etwa 3000 Jahre v. Chr., wie mir Professor LEPSIUS mitgetheilt hat; aber BIRCH sagt mir, dass Tauben schon auf einem Küchenzettel der vorangehenden Dynastie vorkommen.
4-1	350-353	Man	_	_	_	_	_	
4-2	354-357	hat	_	_	_	_	_	
4-3	358-361	sie	_	_	_	_	_	
4-4	362-367	schon	_	_	_	_	_	
4-5	368-371	vor	_	_	_	_	_	
4-6	372-381	Tausenden	_	_	_	_	_	
4-7	382-385	von	_	_	_	_	_	
4-8	386-392	Jahren	_	_	_	_	_	
4-9	393-395	in	_	_	_	_	_	
4-10	396-404	mehreren	_	_	_	_	_	
4-11	405-417	Weltgegenden	_	_	_	_	_	
4-12	418-430	domesticiert	_	_	_	_	_	
4-13	430-431	;	_	_	_	_	_	
4-14	432-435	die	_	_	_	_	_	
4-15	436-443	älteste	_	_	_	_	_	
4-16	444-453	Nachricht	_	_	_	_	_	
4-17	454-458	über	_	_	_	_	_	
4-18	459-465	Tauben	_	_	_	_	_	
4-19	466-472	stammt	_	_	_	_	_	
4-20	473-476	aus	_	_	_	_	_	
4-21	477-480	der	_	_	_	_	_	
4-22	481-485	Zeit	_	_	_	_	_	
4-23	486-489	der	_	_	_	_	_	
4-24	490-497	fünften	_	_	_	_	_	
4-25	498-509	ägyptischen	_	_	_	_	_	
4-26	510-518	Dynastie	_	_	_	_	_	
4-27	518-519	,	_	_	_	_	_	
4-28	520-524	etwa	_	_	_	_	_	
4-29	525-529	3000	_	_	_	_	_	
4-30	530-535	Jahre	_	_	_	_	_	
4-31	536-537	v	_	_	_	_	_	
4-32	537-538	.	_	_	_	_	_	
4-33	539-542	Chr	_	_	_	_	_	
4-34	542-543	.	_	_	_	_	_	
4-35	543-544	,	_	_	_	_	_	
4-36	545-548	wie	_	_	_	_	_	
4-37	549-552	mir	_	_	_	_	_	
4-38	553-562	Professor	_	_	_	_	_	
4-39	563-570	LEPSIUS	_	_	_	_	_	
4-40	571-582	mitgetheilt	_	_	_	_	_	
4-41	583-586	hat	_	_	_	_	_	
4-42	586-587	;	_	_	_	_	_	
4-43	588-592	aber	_	_	_	_	_	
4-44	593-598	BIRCH	_	_	_	_	_	
4-45	599-603	sagt	_	_	_	_	_	
4-46	604-607	mir	_	_	_	_	_	
4-47	607-608	,	_	_	_	_	_	
4-48	609-613	dass	_	_	_	_	_	
4-49	614-620	Tauben	_	_	_	_	_	
4-50	621-626	schon	_	_	_	_	_	
4-51	627-630	auf	_	_	_	_	_	
4-52	631-636	einem	_	_	_	_	_	
4-53	637-649	Küchenzettel	_	_	_	_	_	
4-54	650-653	der	_	_	_	_	_	
4-55	654-667	vorangehenden	_	_	_	_	_	
4-56	668-676	Dynastie	_	_	_	_	_	
4-57	677-686	vorkommen	_	_	_	_	_	
4-58	686-687	.	_	_	_	_	_	

#Text=Unter Allen, welche mit der Sache bekannt sind, denkt Niemand auch nur von fern daran, dass die beiden Eigner dieser Heerden dem reinen BAKEWELL'schen Stamme jemals fremdes Blut beigemischt hätten, und doch ist jetzt die Verschiedenheit zwischen deren Heerden so gross, dass man glaubt, ganz verschiedene Rassen zu sehen.« Gäbe es Wilde, die so barbarisch wären, dass sie keine Ahnung von der Erblichkeit des Characters ihrer Hausthiere hätten, so würden sie doch jedes ihnen zu einem besondern Zwecke vorzugsweise nützliche Thier während einer Hungersnoth und anderer Unglücksfälle, denen Wilde so leicht ausgesetzt sind, sorgfältig zu erhalten bedacht sein, und ein derartig auserwähltes Thier würde mithin mehr Nachkommenschaft als ein anderes von geringerem Werthe hinterlassen, so dass schon auf diese Weise eine unbewusste Auswahl zur Züchtung stattfände
5-1	691-696	Unter	_	_	_	_	_	
5-2	697-702	Allen	_	_	_	_	_	
5-3	702-703	,	_	_	_	_	_	
5-4	704-710	welche	_	_	_	_	_	
