Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
Beispiele										
	Bei Beobach-	x	das Horoskop stellen	einer Nation	x	x	x	x	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""									
										
	Die Zellen verschmelzen miteinander.	nein								Fachausdruck
										
										
Matzat S. 1-20										
	das		Schlachtruf des Ethikers							
	19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean	x	dieser Komet	Schlachtruf des Ethikers	x	x	x	x	C	
	»Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf	x	am Himmel	der Philosophie	x	x	x	x	C	
	des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen									
	ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine									
	grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um									
	die es sich hier handelt.									
										
	Das Gefühl ist ein Zeuge des jeweilig obwaltenden Ver-	x	ein Zeuge	Das Gefühl	x	x	x	x	A	
	hältnisses, aber kein Prophet des zukünftig eintretenden.									
										
S. 21-40										
	Der erste Fall bricht die Schutzwehr nieder, die den guten von dem	x	bricht die Schutzwehr nieder	gute von dem schlimmen Weg	x	x	x	x	B	
	schlimmen Wege trennt.			trennt						
										
	Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.	x	abschüssige Bahn betreten	ersten Fehltritt	x	x	x	x	B	
										
	Das gilt auch nicht bloß von der ersten Ent-									
	scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden:	x	drückt tiefer	Spur	x	x	x	x	C	
	jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.	x	Herausbiegen	Spur	x	x	x	x	C	
										
	Wie manche									
	Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen	nein								Das ist ein Beispiel / Vergleich. Ich kann hier nur schwierig den Rahmen finden. 
	geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen									
	gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen,									
	bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden									
	und aufgehen.									
										
	Die Strafe		steht vor der Tür	Strafe		Floskel				
	steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt«	x	Becher	des Zornes	x	x	x	x	B	
	u. s. w.	x	an den Rand gefüllt	Becher	x	x	x	x	B	
										
	Aber die Jahrhunderte sind wie ein großes Sieb, das die	nein				Vergleich				
	Spreu von dem Weizen sondert.									
										
	So breitet sich der Same der	x	Same	der Fürsorglichen, Klugen, Starken, Schönen	x	x	x	x	B	
	Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden	x	ausgemerzt	Untauglichen	x	x	x	x	B	
	die ganz Untauglichen ausgemerzt.									
										
	Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte	nein	Triebe	des Eigenwillens						
	gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu	nein	Triebe	walten						
	schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.	x	Fesseln	die Gesellschaft einschließt	x	x	x	x	A	vllt doch Floskelhaft
										
	Auch er	x	Verholzung oder Versteinerung	der christlichen Kirchen	x	x	x	x	B	
	ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große drei-									
	bändige Dogmengeschichte ist nichts anderes als eine Geschichte der all-									
	mählichen Verholzung oder Versteinerung der christlichen Kirchen.									
										
	Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der		elenden	Reste	x					
	Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres	x	verfaulten	alten Reiches	x	x	x	x	B	
	zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen,		Gerümpel	aus dem Mittelalter übrig gebliebenes	x					
	der die elenden Reste des verfaulten alten Reiches, das Unwesen der geist-									
	lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig									
	gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre									
	das neue Reich unmöglich gewesen.									
										
S. 41-70										
