Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	Begründung/Kommentar
Beispiele										
	Bei Beobach-	x	das Horoskop stellen	einer Nation	x	x	x	x	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""									
										
	Die Zellen verschmelzen miteinander.	nein								Fachausdruck
										
										
Matzat S. 1-20										
	das	x	dieser Komet am Himmel	der Philosophie	x	x	x	x	B	angedeutete Kritik, ein Komet und sein Licht leuchten nur kurz auf
	19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean									
	»Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf									
	des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen									
	ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine									
	grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um									
	die es sich hier handelt.									
										
	Das Gefühl ist ein Zeuge des jeweilig obwaltenden Ver-	nein								Redewendungen ohne direkte Erweiterung, verlustfrei reformulierbar
	hältnisses, aber kein Prophet des zukünftig eintretenden.									
										
S. 21-40										
	Der erste Fall bricht die Schutzwehr nieder, die den guten von dem	nein								nur bildlicher Ausdruck
	schlimmen Wege trennt.									
										
	Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.	x	die abschüssige Bahn, die zu einem Abgrund führt	mit dem ersten [geschlechtlichen] Fehltritt	x	x	x	x	B	"metaphorische Erweiterung der bekannten redewendung ""auf die schiefe Bahn geraten"""
										
	Das gilt auch nicht bloß von der ersten Ent-	x	drückt die Spur tiefer ein	jede folgende Entscheidung	x	x	x	x	B	im Nachsatz nochmal verstärkt
	scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden:									
	jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.									
										
	Wie manche	nein								Wie/gleichsam verweisen auf einen Vergleich
	Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen									
	geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen									
	gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen,									
	bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden									
	und aufgehen.									
										
	Die Strafe	nein								Floskeln
	steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt«									
	u. s. w.									
										
	Aber die Jahrhunderte sind wie ein großes Sieb, das die	nein								Vergleich
	Spreu von dem Weizen sondert.									
										
	So breitet sich der Same der	nein								wohl wörtlich zu verstehen
	Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden									
	die ganz Untauglichen ausgemerzt.									
										
	Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte	x	die Fesseln	in die ihn die Gesellschaft einschließt	x	x	x		A	nah an der Floskel
	gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu									
	schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.									
										
	Auch er	x	Verholzung oder Versteinerung	der christlichen Kirchen	x	x	x	x	B	betont unterschwellig die Kritik und bringt sie auf den Punkt
	ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große drei-									
	bändige Dogmengeschichte ist nichts anderes als eine Geschichte der all-									
	mählichen Verholzung oder Versteinerung der christlichen Kirchen.									
										
	Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der	nein								Vergleich
	Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres									
	zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen,									
	der die elenden Reste des verfaulten alten Reiches, das Unwesen der geist-									
	lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig									
	gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre									
	das neue Reich unmöglich gewesen.									
										
S. 41-70										
	Diese erscheinen nunmehr als Mittel, um diesen Zu-	nein								Personifikation
	sammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle									
	Zwecke in Bezug auf diesen obersten Zweck beherrscht.									
										
