Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
Beispiele										
	Bei Beobach-	x	das Horoskop stellen	einer Nation	x	x	x	x	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""									
										
	Die Zellen verschmelzen miteinander.	nein								Fachausdruck
										
										
Matzat S. 1-20										
	das									
	19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean		Komet; Himmel	grelle Beleuchtung; der Philosophie	?	ja	ja	ja	C	Der Ethiker als Komet im All der Philosophie ist schon sehr originell
	»Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf									
	des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen	x								
	ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine	x								
	grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um	x								
	die es sich hier handelt.									
										
	Das Gefühl ist ein Zeuge des jeweilig obwaltenden Ver-	nein								"keine Metapher, da ""X ist Y"" -> Vergleich"
	hältnisses, aber kein Prophet des zukünftig eintretenden.									
										
S. 21-40										
	Der erste Fall bricht die Schutzwehr nieder, die den guten von dem	nein								Kontext unklar. nein gesetz (29.08.20)
	schlimmen Wege trennt.									
										
	Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.	nein								
										
	Das gilt auch nicht bloß von der ersten Ent-	nein								
	scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden:									
	jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.									Unklar: Ein Herausbiegen von was, von der Spur? Eventuell wäre der Satz vor diesem im Text hilfreich, um den Kontext besser zu verstehen. nein gesetzt (29.08.20)
										
	Wie manche									
	Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen									
	geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen									
	gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen,	x	moralischen	Atmosphäre	"ja, da im Kontext ""Verbreitung der Keime auf geeignetem Nährboden"" führt zur Erweiterung ""Handlungen... in der moralischen Atmosphäre"""	ja	ja	leicht	B	moralische Atmosphäre erzeugt Bruch, da in diesem Kontext von der Natur auf die Menschen übertragen wird
	bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden									
	und aufgehen.									
										
	Die Strafe	nein								"Schwierigkeiten beim konkreten Trennen zwischen Rahmen und Fokus, irgendwie ist komplette Phrase auffällig // ""Becher des Zorns"" - eine Metapher aus der Bibel? -> https://www.die-bibel.de/lightbox/basisbibel/sachwort/sachwort/anzeigen/details/becher/ nein gesetzt (29.08.20)"
	steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt«									
	u. s. w.									
										
	Aber die Jahrhunderte sind wie ein großes Sieb, das die	nein								"Vergleich mit ""wie"" !"
	Spreu von dem Weizen sondert.									
										
	So breitet sich der Same der	nein								Klingt nur sehr blumig, floskelhaft
	Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden									
	die ganz Untauglichen ausgemerzt.									
										
	Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte	nein								
	gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu									
	schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.									
										
	Auch er	x	Verholzung oder Versteinerung	der christlichen Kirche	nichts besonders	nein	unklar	unklar	A	Würde eher als Grenzfall ansehen, da zwar auffällig, aber schon ersetzlich
	ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große drei-									
	bändige Dogmengeschichte ist nichts anderes als eine Geschichte der all-									
	mählichen Verholzung oder Versteinerung der christlichen Kirchen.									
										
	Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der	nein								"""als"" -> Vergleich!"
	Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres									
	zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen,									
	der die elenden Reste des verfaulten alten Reiches, das Unwesen der geist-									
	lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig									
