Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
Beispiele										
	Bei Beobach-	x	das Horoskop stellen	einer Nation	x	x	x	x	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""									
										
	Die Zellen verschmelzen miteinander.	Nein								Fachausdruck
										
										
Matzat S. 1-20										
	das	x	der Philosophie	Himmel	ja	ja	ja	ja	B	
	19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean									
	»Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf									
	des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen									
	ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine									
	grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um									
	die es sich hier handelt.									
										
	Das Gefühl ist ein Zeuge des jeweilig obwaltenden Ver-	x	Zeuge, Prophet	das Gefühl ist	ja	nein	ja	ja	A	fand ich etwas grenzwertig, den Fokus kann man denke ich ersetzen
	hältnisses, aber kein Prophet des zukünftig eintretenden.									
										
S. 21-40										
	Der erste Fall bricht die Schutzwehr nieder, die den guten von dem	nein			nein	nein	nein	nein		statt niederbrechen kann man niederreißen sagen, dann verliert der Ausdruck jede Besonderheit.
	schlimmen Wege trennt.									
										
	Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.	nein			nein	nein	nein	ja		bildlicher Ausdruck aber kein Bruch
										
	Das gilt auch nicht bloß von der ersten Ent-									
	scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden:	nein			nein	nein	nein	ja		bildlicher Ausdruck aber kein Bruch
	jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.									
										
	Wie manche									
	Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen	x	einfallend in Menschenseelen	Keime	ja	ja	ja	ja	B	
	geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen									
	gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen,									
	bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden									
	und aufgehen.									
										
	Die Strafe	x	steht vor der Tür, des Zorns	Die Strafe, Becher	ja	ja	ja	ja	B, B	
	steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt«									
	u. s. w.									
										
	Aber die Jahrhunderte sind wie ein großes Sieb, das die	nein								direkter Vergleich
	Spreu von dem Weizen sondert.									
										
	So breitet sich der Same der	x	der Fürsorglichen, Klugen, Starken, Shcönen	Same breitet sich aus	nein	ja	ja	ja	A	wirkt ein bisschen abgedroschen
	Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden									
	die ganz Untauglichen ausgemerzt.									
										
	Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte	nein			nein	nein	nein	ja		
	gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu									
	schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.									
										
	Auch er	x	Verholzung, Versteinerung	der christlichen Kirchen	ja	ja	ja	ja	A	Versteinerung erscheint mir als übliche Metapher, deshalb nur A
	ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große drei-									
	bändige Dogmengeschichte ist nichts anderes als eine Geschichte der all-									
	mählichen Verholzung oder Versteinerung der christlichen Kirchen.									
										
	Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der	nein								"Der vorheriger Ausdruck ""Napoleon als Besen"" ist ein direkter Vergleich und deshalb keine Metapher. Das eine Institution oder ein Reich verfault ist scheint mir eine FLoskel zu sien"
	Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres									
	zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen,									
	der die elenden Reste des verfaulten alten Reiches, das Unwesen der geist-									
	lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig									
	gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre									
	das neue Reich unmöglich gewesen.									
										
S. 41-70										
