Abschnitt	Stelle	P	K	A	B
Beispiele					
	Bei Beobach-	x	x	x	x
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""				
					
	Die Zellen verschmelzen miteinander.	nein	nein	nein	nein
					
					
Matzat S. 1-20					
	das	x	x	x	x
	19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean				
	»Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf				
	des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen				
	ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine				
	grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um				
	die es sich hier handelt.				
					
	Das Gefühl ist ein Zeuge des jeweilig obwaltenden Ver-	x	nein	x	nein
	hältnisses, aber kein Prophet des zukünftig eintretenden.				
					
S. 21-40					
	Der erste Fall bricht die Schutzwehr nieder, die den guten von dem	nein	nein	x	nein
	schlimmen Wege trennt.				
					
	Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.	nein	nein	x	x
					
	Das gilt auch nicht bloß von der ersten Ent-	nein	nein	x	x
	scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden:				
	jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.				
					
	Wie manche	x	x	nein	nein
	Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen				
	geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen				
	gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen,				
	bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden				
	und aufgehen.				
					
	Die Strafe	x	nein	x	nein
	steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt«				
	u. s. w.				
					
	Aber die Jahrhunderte sind wie ein großes Sieb, das die	nein	nein	nein	nein
	Spreu von dem Weizen sondert.				
					
	So breitet sich der Same der	x	nein	x	nein
	Fürsorglichen, Klugen, Starken, Schönen immer weiter aus und immer vollständiger werden				
	die ganz Untauglichen ausgemerzt.				
					
	Wer die Triebe des Eigenwillens rücksichtslos walten läßt, Zucht, Ehre und Sitte	nein	nein	x	x
	gering achtet und die Fesseln, in die ihn die Gesellschaft einschließt, um sich selbst zu				
	schützen, frech zerreißt, den stößt sie bald aus ihrer Mitte.				
					
	Auch er	x	x	x	x
	ist ein genauer Kenner gerade der römischen Kaiserzeit, und seine große drei-				
	bändige Dogmengeschichte ist nichts anderes als eine Geschichte der all-				
	mählichen Verholzung oder Versteinerung der christlichen Kirchen.				
					
	Dem vierten scheinbaren Niedergange Deutschlands, der Zeit der	nein	nein	x	nein
	Napoleonischen Unterdrückung stehen wir noch nahe genug, um ohne weiteres				
	zu erkennen, daß Napoleon für uns nichts weiter war, als der große Besen,				
	der die elenden Reste des verfaulten alten Reiches, das Unwesen der geist-				
	lichen und Zwergstaaten und allerlei sonstiges aus dem Mittelalter übrig				
	gebliebenes Gerümpel aus Deutschland hinwegkehrte: ohne Napoleon wäre				
	das neue Reich unmöglich gewesen.				
					
S. 41-70					
	Diese erscheinen nunmehr als Mittel, um diesen Zu-	x	nein	nein	nein
	sammenhang zu ermöglichen, und die Vernunft selber wird die Gebieterin, welche alle				
	Zwecke in Bezug auf diesen obersten Zweck beherrscht.				
					
	Wenn sonach das Zweckprinzip auf der ganzen Linie unterlegen ist,	x		x	x
	wenn es sich zeigt, daß es nicht auf eigenen Füßen stehen und gehen kann,				
	sondern, sobald es das versucht, schließlich irgendwann an einen Punkt gerät,				
	wo es allein nicht weiter kann oder gar in Gefahr ist, in den Abgrund des				
	Konsens zu stürzen, und wenn es sich vor dieser Gefahr nur dadurch retten kann,				
	daß es sich an das Stabilitäts- oder an das Anpassungsprinzip klammert:				
	so werden doch derartige Versuche immer wieder unternommen werden, man				
	wird immer wieder glauben, daß das Zweckprinzip alles vermöge, weil es				
	viel vermag; — wenn es nicht gelingt zu zeigen, was ihm eigentlich fehlt.				
					
	Und diese Seite der Sache muß unbedingt in die hellste Be-	nein	nein	x	nein
	leuchtung gesetzt werden.				
					
	Ebenso wie beim Auswaschen des Goldsandes durch strömendes	nein	nein	x	nein
	Wasser das Wasser die Goldkörner nicht zurückläst, weil sie kostbar oder nützlich oder				
	schön sind, sondern nur, weil sie wegen ihrer größeren Dichte schneller zu Boden sinken				
	als der leichtere Quarzsand, bildet sich die zweckmäßige Beschaffenheit der Organismen				
	nicht aus, weil die »Natur« mit ihnen besondere Zwecke der Schönheit, der Belebung, der				
	Energieausnutzung verfolgt, sondern die vermöge ihrer gerade vorhandenen Be-				
	schaffenheit dauerhafteren Gebilde bleiben zurück, weil eben die anderen,				
	nicht dauerhaften durch den Strom der Zeit schneller fortgeschwemmt werden.				
					
	oder aber uns dieser unaufhaltsam daherrollenden Lawine des Guten in den	x	x	x	x
	Weg zu werfen, um von ihr zerschmettert zu werden.				
					
					
S. 71-100					
	»Man könnte annehmen, und es ist in älteren Zeiten angenommen worden, daß	x	x	nein	x
	diejenigen Teile der Organisation, welche die Lebensweise und im allgemeinen den Platz				
	bestimmen, welchen jedes Wesen im Haushalte der Natur einnimmt, von erster Wichtigkeit				
	seien.				
					
	Sagt man dagegen:	nein	nein	nein	nein
	die Träufelspitze ist für die Pflanzen nützlich oder wertvoll und weist man				
	das Wort »zweckmäßig« überall da zurück, wo das gegenwärtige oder frühere				
	Vorhandensein eines Zweckes nicht nachgewiesen ist, so wird dem neovitali-				
	stischen Spuk bald ein Ende gemacht sein.				
					
S. 101-121					
	Man erinnere sich nur des Entrüstungssturmes, mit dem die Darwinsche Theorie	nein	x	x	nein
	und ihre unabweisbaren Folgerungen hinsichtlich der Abstammung des Menschen empfangen				
	wurden.				
					
	Er umfaßt die Gewohnheiten des Handelns, die ihm	nein	nein	x	nein
	das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel				
	seiner Genossen und seiner Führer einimpfen.				
					
	Dann hätten wir eben für jeden	x	unklar	x	nein
	Augenblick umfassendere Komplexe und die beiden Reihen wären zu einem einzigen				
	psychischen Vorgang verschmolzen.				
					
S. 122-150					
	Alles Lernen besteht in Anpassungsvorgängen, welche dadurch ein-	nein	nein	nein	nein
	geleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen				
	oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten1).				
					
	Eine höhere Bürgschaft kann niemand verlangen, und so dürfen wir denn wohl das	nein	nein	nein	nein
	Gesetz der gleichen Freiheit als ein höchstes und letztes ethisches Prinzip annehmen, dessen				
	Autorität jede andere übersteigt, und von diesem sicheren Boden aus unsere Untersuchungen				
	fortsetzen.«				
	Der Boden ist doch so sicher nicht.				
					
	Du bist	x	nein	nein	nein
	Petrus, und auf diesen				
	Felsen will ich meine				
	Gemeinde bauen, und				
	die Pforten der Unterwelt				
	sollen sie nicht überwältigen.				
					
	Ich sage euch aber wahr-	x	nein	nein	nein
	haftig, sind einige unter				
	denen, die hier stehen, welche				
	den Tod nicht kosten werden,				
	bis sie das Reich Gottes				
	sehen.«				
					
	Also zwei grobe Entstellungen der Überlieferung, das sind die Grund-	nein	nein	x	nein
	lagen der päpstlichen Autorität, und diese Autorität ist der letzte Rettungs-				
	anker des Naturrechts und der allgemeinen Menschenrechte.				
					
	Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich	nein	x	x	nein
	ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung,				
	jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheits-				
	beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:				
					
	Im Gegenteil, der Rechtsbegriff schwankt	x	nein	nein	nein
	heute mehr als je, die Unsicherheit nimmt womöglich noch zu.				
					
	Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen	nein	x	nein	
	über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits				
	in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger				
	Haltbarkeit natürlich, schwerlich mehr austreten kann.				
					
	Damit ist der Boden der	x	nein	x	nein
	Descendenztheorie verlassen und der der Teleologie betreten, und nun geht				
	es unaufhaltsam abwärts ins Bodenlose, zur Konstruktion einer idealen				
	Ethik, Rechts- und Staatsphilosophie.				
					
	Dazu meint Schäffle: »Diese Argumentation wird in der Tat nicht so leicht aus	nein	nein	nein	nein
	dem Felde zu schlagen sein.				
					
	»In der Tat kann die Darwinistische Theorie, wenn sie ihren großartigen Kern, die	nein	nein	nein	nein
	einheitliche Entwickelungslehre, vollkommen entfalten will, in der menschlichen Gemeinschafts-				
	bildung nur den Abschluß des großen synthetischen Entwickelungsprozesses erblicken, der die				
	Elementarorganismen zu immer höheren und immer verwickelteren Organismen zusammen-				
	fügt!				
					
	Und so wären die in der Naturwissenschaft vollzogenen Veränderungen	nein	nein	x	nein
	in der Grundauffassung des Wesens der organischen Welt weit eher geeignet, die organische				
	Staatsbetrachtung« — welche Gierke vertritt — »fester zu fundamentieren, als ihr den				
	Boden zu entziehen.«				
					
	Ob er	nein	nein	nein	nein
	richtig ist, wissen wir noch nicht; aber wenigstens soweit werden wir ihm				
	ohne Schaden folgen können, daß wir, an der Hand unserer Prinzipien,				
	insbesondere des Anpassungsprinzips, zunächst Wesen und Werden des Rechts				
	und dann erst das Wesen und Werden des Staates untersuchen.				
					
	Der Verfasser des Matthäustextes hat einen so gewaltsamen Ein-	nein	nein	x	nein
	griff nicht gewagt, sondern jene Stelle und die darauf folgende Rede Jesu				
	nur etwas gemildert, dafür aber die Tatsache daß Petrus zuerst Jesus für				
	den Messias erklärt habe, in das hellste Licht gesetzt und durch die Er-				
	findung der Vollmachterteilung verschönert.				
					
	Bei Matthäus ist er	x	x	x	nein
	ziemlich wörtlich abgeschrieben, nur hin und wieder sind bereits kleine Lichter				
	ausgesetzt1). Der Verfasser des Lukastextes hat ihn ebenfalls vor sich gehabt				
	(mittlere Spalte), jedoch ihn mit einer anderen Quelle kontaminiert (erste Spalte,				
	daher die zweimalige Erwähnung des Bechers), besonders aber aus Respekt vor der				
	bereits aufgekommenen Heiligkeit der Jünger ihn gründlich verdorben.				
					
	Was aber in Erstaunen setzen muß und ein Streiflicht auf die Unsicherheit der	nein	nein	x	nein
	Historischen Schule hinsichtlich der Empirie als Grundlage ihrer Methode wirft, ist, daß				
