sentence1	sentence2	Which one is more metaphoric?
Wenn er die ganze Steuerhoheit und die gesamten direkten Steuern dem Reiche übertragen will, so muß er sich darüber klar sein, daß mit der Finanzhoheit der Einzelstaaten auch die staat-liche Selbständigkeit derselben in die Brüche gehen würde.	Der Betriebskoeffizient bei der Post beträgt 90 vom Hundert, während er bei den Eisenbahnen ungefähr 70 vom Hundert beträgt.	0
Daher gereicht der Gesamtheit zum wirklichen Segen nur eine Entwicklung, die nicht allein das Vermögen der herrschenden Klasse anwachsen läßt, sondern auch die Arbeits- und Lebensverhältnisse des arbeitenden Volkes immer mehr verbessert.	Was Groß- admiral v. Tirpitz unserem Volke gewesen ist, was er ge- schaffen hat, was er unser Volk gelehrt hat, das steht un- auslöschlich in den Ruhmesblättern der deutschen Geschichte eingetragen.	2
Januar 1917 so starke Belastungen des Besitzes in den Einzelstaaten und Gemeinden, ferner durch die Kriegsgewinnsteuer und die übrigen wirtschaftlichen Ver- hältnisse zusammen, daß uns das Plus einer Erhebung auch einer einmaligen neuen Rate des Wehrbeitrags nicht angebracht zu sein scheint, nicht angebracht sowohl von dem Gesichtspunkte aus, daß wir den Besitz nicht erdrosseln, nicht übermäßig belasten wollen, nicht angebracht aber auch von dem Gesichtspunkte des Schutzes der einzelstaatlichen Finanzhoheit aus.	Meine Herren, Sie haben mir auch unmöglich gemacht, in die Dunkelkammer der deutschen Kriegspolitik und der Militärdiktatur hinein- zu leuchten —	2
Ferner sind wir darauf hingewiesen worden, daß die Einkommensteuer unmöglich überspannt werden dürfe.	Hier handelt es sich denn doch um die Einhaltung des rechten Maßes, das unbedingt erforderlich ist, um unser Wirtschaftsleben nicht zu erdrosseln.	0
Während die Bankdirektoren ihr Einkommen in Scheffeln erhalten, wird es den Arbeitern in Teelöffelrationen zugemessen.	Der russische Riese überall weit in sein Land zurück- gedrängt, der Weg nach dem Balkan geöffnet und gesichert, beides mit Hilfe treuer und tapferer Verbündeter, die immer wiederholten Angriffe gewaltiger Übermacht gegen unsere in Feindesland stehende Mauer im Westen stets von neuem an unserer eigenen Kraft zerschellt.	2
Viele Sach- verständige sind überzeugt, daß diese Steuer eine Erdrosse- lungssteuer ist, daß durch die Steller die kleinen Unter- nehmer zu grunde gerichtet werden und dann das Monopol um so leichter durchgeführt werden kann.	Es ist nicht wahr, daß das deutsche Volk die Mög- lichkeit hat, sich über diese Sachen in voller Freiheit zu besprechen.	0
Wir werden daran mitarbeiten, daß die Steuern nicht so gemacht werden wie bisher, daß nicht fortgewurstelt wird, wie es die höchste Empörung und Entrüstung unter dem arbeitenden Volke hervorgerufen hat.	Auch wir haben es erkannt, daß Großadmiral v. Tirpitz es gewesen ist, der unserem Volke neue Bahnen gewiesen hat.	2
Der Gedanke, daß es falsch sein würde, wenn durch eine übermäßige Kapitalbesteuerung die Ansammlung des Kapitals ver- hindert werden würde, trifft auch in sozialdemokratischen Kreisen mehr und mehr auf Verständnis.	Auf die ungeheuer großen Verschiedenheiten des Wertes der Sendungen, die in den einzelnen Frachtbriefen be- urkundet werden, wird gar keine Rücksicht genommen, und so kann der Frachturkundenstempel gerade auch gewisse landwirtschaftliche Betriebe, jedenfalls die Hersteller von großen Massengütern mit besonders großer Schärfe treffen, mit größerer Schärfe als diejenigen Betriebe, die wert- volle Gegenstände zu versenden haben.	0
Wenn ich kurz einige Bemerkungen zu den einzelnen Entwürfen hinzufügen darf, so bleibt bei der Vermögens- zuwachssteuer die Frage, welche» Ertrag sie bringen wird, in den Ausführungen des Herrn Staatssekretärs und in der Begründung des Gesetzentwurfs vollständig unbeant- wortet.	Aber, meine Herren, die Einkommensteuer hat das mit sich, daß sie, da sie den Reichsten am meisten trifft, auf die Reichsten den schärfsten Druck ausübt, während die Verbrauchssteuer umgekehrt wirkt; sie übt auf die Ärmsten den größten Einfluß; sie läßt den Reichen so gut wie ungeschoren.	0
Jetzt ent- schließt sich der Entwurf, das Gebiet der Gesellschafts- steuer zu betreten.	"Meine Herren, ich komme zum Schluß und wieder- hole, daß der Staatsnotwendigkeit, unsere Finanzen auf gesunden Grundlagen zu erhalten und fortzuführen und der „silbernen Kugeln"" zu spotten, die uns von England als die letzten Sieger angedroht worden sind, nur genügt werden kann, wenn schwere Opfer gebracht werden. Aber, meine Herren, dafür hat das Volk auch ein volles Ver- ständnis."	1
Meinungsverschiedenheiten und Interessengegensätze auf steuerlichem Gebiete sind von altersher ein höchst beliebtes Gebiet des Parteistreites und der agitatorischen Behand- lung.	Aber, meine Herren, die Einkommensteuer hat das mit sich, daß sie, da sie den Reichsten am meisten trifft, auf die Reichsten den schärfsten Druck ausübt, während die Verbrauchssteuer umgekehrt wirkt; sie übt auf die Ärmsten den größten Einfluß; sie läßt den Reichen so gut wie ungeschoren.	0
Nachher, als die Steuervorlagen kamen, sollte ich an derselben Stelle über diese Vorlagen sprechen — das wurde auch Abgelehnt!	Er meinte, weil nicht alle Versammlungen überfüllt waren, weil nicht wer weiß wie viele Tausende von Leuten zusammengeströmt sind, des- halb will das arbeitende Volk nichts von einem Wider- spruch gegen die Steuern wissen.	0
Sie wird dafür sorgen, daß ihr das Recht gegeben wird, das sie zu beanspruchen hat, und das sie sich jetzt mit Strömen von Blut erkaufen muß. Wenn Sie ihr das Recht nicht geben wollen, dann wird sich die Masse dieses Recht erkämpfen.	Hier handelt es sich denn doch um die Einhaltung des rechten Maßes, das unbedingt erforderlich ist, um unser Wirtschaftsleben nicht zu erdrosseln.	2
