Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (0, 1, 2)	Begründung
Beispiele						
	Bei Beobach-	Metapher	das Horoskop stellen	einer Nation	2	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""					
						
	Die Zellen verschmelzen miteinander.	nein				Fachausdruck
						
	Diese wolle die bittere Auslese, ohne die auch dem	Metapher	bittere	Auslese	1	"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts Eingeführtes, also keine Floskel."
	Menschen kein Fortschritt möglich sei, einschränken.					
						
Ruppin 0-29						
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	Metapher	den vollendeten Bau	wissenschaftlich gesicherten Ergebnissen	B	"auffällig ist nur der vollendete Bau, aus ""wissenschaftlich gesichterten Ergebnissen"", Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-					
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird					
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn					
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen					
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-					
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden					
	sein werden.					
						
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein				ich sehe nichts auffälliges
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-					
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die					
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der					
	Singdrosseln zur Folge gehabt.					
						
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein				
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,					
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-					
	hunderte und Jahrtausende abgemüht haben.					
						
	So verlockend es nun mit-					
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-	nein				Floskel
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch					
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch					
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu					
	machen.					
						
	Man kann vielmehr in das Getriebe des gesell-	Metapher	Getriebe; Leuchte	des gesellschaftlichen Lebens; der Wissenschaft	A, B	wenig metaporisch; Getriebe grenz aber an Floskel, dennoch Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft. Die Leuchte der Wissenschaft ist auffällig, ist nicht so langweilig wie die normale Licht-Floskel, somit Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,					
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-					
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.					
						
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	Grenzfall	im Brennpunkt vereinigen	alle Wissenschaften	A	"ein bisschen auffällig durch ""vereinigen"". Brennpunkt allein ist nein. Bruch ist da, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen					
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,					
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der					
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.					
						
