Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
Beispiele						
	Bei Beobach-	x	das Horoskop stellen	einer Nation	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""					
						
	Die Zellen verschmelzen miteinander.	nein				Fachausdruck
						
	Diese wolle die bittere Auslese, ohne die auch dem	x	bittere	Auslese	A	"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts EIngeführtes, also keine Floskel."
	Menschen kein Fortschritt möglich sei, einschränken.					
						
Ruppin 0-29						
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	x	ein gesichertes Fundament und die ersten Pfeiler zu legen/den vollendeten Bau errichten	die Lösung der hier zur Bearbeitung gestellten Aufgabe	A	Bruch, Fokus nicht ohne Bedeutungsverlust ersetzbar, nah an Floskel, doch durch den detailreichen Ausbau (Pfeiler) metaphorisch
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-					
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird					
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn					
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen					
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-					
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden					
	sein werden.					
						
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein				kein Bruch, nur auffälliger Ausdruck, keine Bedeutungserweiterung, ersetzbar
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-					
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die					
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der					
	Singdrosseln zur Folge gehabt.					
						
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein				übliche Ausdrucksweise, kein Bruch etc.
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,					
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-					
	hunderte und Jahrtausende abgemüht haben.					
						
	So verlockend es nun mit-	nein				vermutlich damals übliche Floskel
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-					
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch					
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch					
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu					
	machen.					
						
	Man kann vielmehr in das Getriebe des gesell-	x	Leuchte der Wissenschaft	in das Getriebe des gesellschaftlichen Lebens	B	Bruch, semantische Erweiterung, nicht ersetzbar, das Leben als Getriebe tendenziell floskelhaft, stützt aber das Bild der Leuchte und damit die Metaphorizität der Stelle
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,					
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-					
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.					
						
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	nein				eindeutiger Vergleich, zwar unterstützt durch das Ineinandergreifen, dies aber üblicher Ausdruck
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen					
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,					
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der					
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.					
						
	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht	x	fast die ganze Außenwelt lückenlos umspannen	des Menschen Interessen	B	Irritation, unersetzlich, Bedeutungserweiterung, eine Welt lässt sich eigentlich nicht umspannen
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze					
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,					
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.					
						
	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der	x	Lichte	seiner Vernunft	B	Bruch, semantische Erweiterung, unersetzlich, im Satzende nochmal pointiert
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste					
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner					
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen					
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im					
	Dunklen bleiben.					
						
	Der Mensch hat zwar theoretisch gelernt sich als einen	x	der organischen Welt	Zweige am Stamme	B	Metapher in einem Vergleich, vom Bild des Baumes zum abstrakten Ausdruck der organischen Welt erzeugt einen Bruch und erweitert das Bild, 
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu					
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-					
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt					
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den					
	sie dem Menschen bringen.					
						
	Er leuchtet nur in diejenigen Erscheinungen	x	Lichte	seiner Vernunft	A	Bruch, semantische Erweiterung, unersetzlich, aber überraschende Wiederholung der vorvorigen Metapher
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung					
	der menschlichen Wohlfahrt erwartet.					
						
	Eine Gesetz-	nein				nur merkwürdige Ausdrucksweise, austauschbar
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-					
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution					
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos					
	vergeuden und zu Grunde gehen.					
						
	Viel Streit hat sich über die Frage erhoben, durch welche Umstände	nein				ersetzbar, kein Bruch etc.
	sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de					
	facto zum Herrscher über alle anderen Tiere gemacht hat.					
						
	Das Gebiet	nein				floskelhafte Ausdrucksweise, bildlich verstärkt, aber ohne Bruch
	positiven Wissens über den Gang der menschlichen Entwickelung beginnt					
	aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.					
						
	Nur soweit ein Bedürfnis gebieterisch Befriedigung	nein				Personifikation, kein Bruch etc., andere Formulierungen verlustfrei möglich
	verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem					
	Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.					
						
	Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeits-	nein				leichte Bedeutungserweiterung, aber kein Bruch, verlustfrei umschreibbar
	gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde					
	oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu					
	erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet					
	der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit be-					
	gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.					
						
	»Unter der ausschließlichen Herrschaft des Rechts	nein				merkwürdige Ausdrucksweise, aber kein Bruch oder Semantikgewinn
	des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner					
	Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben					
	in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft					
	deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt					
	werden.					
						
	Eine weitere Folge der	nein				Floskel
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der					
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die					
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-					
	fiel.					
						
	Die Folge ist, daß	nein				Floskel
	selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten					
	mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener					
	Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die					
	erst allmählich durch das territoriale Zusammenleben und gegenseitige					
	Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.					
						
	Die Nationalitätenkämpfe des	nein				Floskel
