Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (A, B, C)	Begründung
Beispiele						
	Bei Beobach-	x	das Horoskop stellen	einer Nation	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""					
						
	Die Zellen verschmelzen miteinander.	nein				Fachausdruck
						
	Diese wolle die bittere Auslese, ohne die auch dem	x	bittere	Auslese	A	"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts EIngeführtes, also keine Floskel."
	Menschen kein Fortschritt möglich sei, einschränken.					
						
Ruppin 0-29						
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	x	ein gesichertes Fundament und die ersten Pfeiler ... zu legen	für die Lösung 	B	Rahmen klar erkennbar
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-					
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird	x	den vollendeten Bau ... errichten können 	eine spätere Generation	B	Steigerung zur ersten Metapher in diesem Satz
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn					
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen					"""fragmentarischen ... Hypothesen"" zwar ein wenig auffällig, aber kein Rahmen zu finden -> keine Metapher"
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-					
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden					
	sein werden.					
						
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein				
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-					"""vertilgt worden"" fällt zwar auf, aber klingt nicht besonders originell (könnte auch Floskel sein)"
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die					
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der					
	Singdrosseln zur Folge gehabt.					
						
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete		sich Jahr-hunderte und Jahrtausende abgemüht haben	an denen 	B oder C	"Warum sollten sich Jahresangaben an der Beantwortung von Fragen ""abmühen""? Klingt schon sehr kreativ und damit ist gemeint, dass die Beantwortung schon sehr lange andauert. Zudem Steigerung: Hunderte, dann Tausende. -> Metapher"
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,					"""ihrer Beantwortung harren ... berührt werden"" fällt zwar auf, klingt aber recht floskelhaft"
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-	x				
	hunderte und Jahrtausende abgemüht haben.	x				
						
	So verlockend es nun mit-		aus dem reich aus-gestatteten Arsenale	der Volkswirtschaftspolitik	B	Kriegsbegriff im Kontext der VW-Politik
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-	x				
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch	x				
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch					
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu					
	machen.					
						
	Man kann vielmehr in das Getriebe des gesell-	x	das Getriebe	des gesellschaftlichen Lebens	A	Grenzfall, da zwar schon auffällig (warum technischer Begriff im Kontext des gesellsch. Lebens, aber Getriebe von x wird bereits an anderer Stelle verwendet und erweckt hier den Eindruck, es sei nur floskelhafter Gebrauch
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,	x				"""Leuchte der..."" keine M., da Begriff oft verwendet wird, also nur Floskel"
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-					
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.					
						
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	nein				
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen					
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,					
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der					
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.					"keine M., da Vergleich mit ""wie""!"
						
	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht		Interessen ... lückenlos umspannen	heute fast die ganze Außenwelt	B	
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze	x				
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,	x				
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.					
						
	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der		das Licht	am intensivsten beleuchtet werden // immer zu schwächer wird und die entferntesten Gebiete beinah ganz im Dunkeln bleiben	B	"Fällt schon in diesem Kontext auf, aber ""Lichte seiner Vernunft wird oft gebraucht und lässt den Eindruck einer Metapher schwächen"
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste					
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner					
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen	x				
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im	x				
	Dunklen bleiben.	x				
						
	Der Mensch hat zwar theoretisch gelernt sich als einen	nein				
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu					"Vergleich mit ""wie""!"
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-					
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt					
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den					
	sie dem Menschen bringen.					
						
	Er leuchtet nur in diejenigen Erscheinungen	nein				Klingt an sich schon auffällig, aber es wird so oft etwas mit Licht in Kontext gebracht, dass es zum häufigen Floskelgebrauch scheinbar wird.
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung					
	der menschlichen Wohlfahrt erwartet.					
						
	Eine Gesetz-	nein				
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-					
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution					
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos					
	vergeuden und zu Grunde gehen.					
						
	Viel Streit hat sich über die Frage erhoben, durch welche Umstände	nein				
	sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de					
	facto zum Herrscher über alle anderen Tiere gemacht hat.					"""de facto"""
						
	Das Gebiet	nein				
	positiven Wissens über den Gang der menschlichen Entwickelung beginnt					
	aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.					"""zur Seite stehen"" -> Floskel"
						
	Nur soweit ein Bedürfnis gebieterisch Befriedigung	nein				
	verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem					
	Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.					
						
	Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeits-	nein				
	gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde					
	oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu					
	erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet					"ist etwas auffällig, aber ""Gebiet"" is eine Floskel"
	der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit be-					
	gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.					
						
	»Unter der ausschließlichen Herrschaft des Rechts	nein				
	des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner					
	Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben					
	in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft					
	deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt					häufiger Gebrauch, sehr floskelhaft
	werden.					
						
	Eine weitere Folge der	nein				"Bloße Bildhaftigkeit: metaphorischer Charakter von ""das Recht ... verwebt ... losgelöst ... entwunden ... zuviel"" wird durch dieses ""als"" genommen, bin mir aber unsicher"
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der					
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die					
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-					
	fiel.					
						
	Die Folge ist, daß	nein				
