Agreement	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (A, B, C)	Begründung	Kommentar
2	Ohne solche Regeln würde										
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen	nein	in Atome zersplittern	Gesellschaft					C	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	gemeinsam: ersetzbar also blumige Redewendung
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert										
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,										
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben										
	von Menschen sein würde.										
											
1	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	nein	das ganze künstliche Gebäude in sich zusammenstürzt	unserer Existenz					B	Steigerung und Pointierung durch Semantikanreicherung, Bruch, nicht ersetzbar	gemeinsam: keine Spannung, Ausdruck wird nur bildhaft wiederholt
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr										
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze										
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages										
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-										
	liche Gebäude in sich zusammenstürzt.										
											
1	Die Menschheit	nein	auf Klippen zu stoßen	Verletzung der biologischen Gesetze					B	Irritation, Bedeutungserweiterung, nicht austauschbar, Pointierung, ergänzt durch metaphorische Floskel	gemeinsam: entweder Vergleich oder keine Spannung, also nein
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation										
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür										
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-										
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente										
	ihres stolzen sozialen Baues zu unterminieren.										
											
2	Sie [die Anpassung] kann auf geringfügige Änderungen der	nein	tritt die Herrschaft ab	die Anpassung					B	zunächst durch Personifikation pointiert, anschließend durch Bruch und weitere Semantik ausgezeichnet wird diese Stelle metaphorisch, Umformulierung würde ihr diese Pointierung nehmen: es sollen hier Machtkämpfe verbildlicht werden. Die Anpassung  wird als konkurrierender Herrscher dargestellt. Das würde man nicht erwarten und es stößt auf	gemeinsam: Redewendung gepaart mit Personifikation
	natürlichen Lebensbedingungen mit korrespondierenden kleinen Änderungen										
	der Organisation antworten; aber sie versagt bei größeren Änderungen und										
	tritt die Herrschaft dann gänzlich an die natürliche Auslese ab.										
											
2	So geht nun das Reisen der Disposi-	x	Nachmeißeln	dieser Dispositionen					B	die frühere Metapher der Statue wird hier geschickt durch eine ergänzende Metapher aufgegriffen, das Meißeln verweist abermals auf die bildenden Künste, die Stelle wird so pointiert und ist nicht auszutauschen	
	tionen bei fortschreitender Ausbildung des Säuglingsgehirns mit dem Lernen,										
	d. h. mit dem Nachmeißeln dieser Dispositionen durch Übung Hand in Hand										
	und erzielt dadurch ein weit reicheres und saubereres Endresultat als die										
	bloße Vererbung bei den Tieren vermag« 2).										
											
2	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein	Jahrzehnte und Jahrtausende	Fragen, an denen sich abgemüht haben					B	"Warum sollten sich Jahresangaben an der Beantwortung von Fragen ""abmühen""? Klingt schon sehr kreativ und damit ist gemeint, dass die Beantwortung schon sehr lange andauert. Zudem Steigerung: Hunderte, dann Tausende."	
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,										
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-										
	hunderte und Jahrtausende abgemüht haben.										
											
1	Eine Gesetz-	nein									
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-										
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution										
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos										
	vergeuden und zu Grunde gehen.										
											
