Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung
Beispiele						
	Bei Beobach-	x	das Horoskop stellen	einer Nation	B	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""					
						
	Die Zellen verschmelzen miteinander.	nein				Fachausdruck
						
	Diese wolle die bittere Auslese, ohne die auch dem	x	bittere	Auslese	A	"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts EIngeführtes, also keine Floskel."
	Menschen kein Fortschritt möglich sei, einschränken.					
						
Ruppin 0-29						
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	x	ein gesichertes Fundament und die ersten Pfeiler zu legen	für die Lösung der gestellten Aufgabe	A	schwacher Bruch, semantische Erweiterung, Ausdruck schwer ersetzbar
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-					
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird					
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn					
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen					
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-					
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden					
	sein werden.					
						
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein				Der Ausdruck „vertilgen“ in diesem Zusammenhang kommt mir wie ein Jargon-Ausdruck vor
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-					
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die					
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der					
	Singdrosseln zur Folge gehabt.					
						
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	x	Jahrzehnte und Jahrtausende	Fragen, an denen sich abgemüht haben	B	Bruch, Ausdruck nicht ersetzbar, sprachlich irregulär
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,					
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-					
	hunderte und Jahrtausende abgemüht haben.					
						
	So verlockend es nun mit-	x	Arsenale	der Volkswirtschaftspolitik	A	Bruch, pointiert, irregulär, Ausdruck nicht ersetzbar ohne die Pointierung zu verlieren
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-					
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch					
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch					
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu					
	machen.					
						
	Man kann vielmehr in das Getriebe des gesell-	x	Getriebe	des gesellschaftlichen Lebens	A	Bruch, pointiert, aber übliche Metapher
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,	x	Leuchte	der Wissenschaft	A	schwacher Bruch, pointiert, übliche Metapher
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-					
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.					
						
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	nein				„wie in einem Brennpunkt“ ist ein direkter Vergleich
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen					
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,					
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der					
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.					
						
	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht	x	lückenlos umspannen	Interessen	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze					Das „lückenlos“ verstärkt den Bruch
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,					
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.					
						
	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der	x	gruppiert sich konzentrisch	Die ganze Außenwelt	B	Starker Bruch, sprachlich irregulär, nicht ersetzbar, pointiert
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste					
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner	x	Vom Lichte seiner Vernunft am intensivsten beleuchtet werden	Gebiete	B	Bruch, pointiert, übliche Lichtmetaphorik, durch sprachliche Erweiterung wird der Bruch jedoch verstärkt
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen	x	das Licht nach außen immer schwächer wird	die entferntesten Gebiete	B	Bruch, pointiert, übliche Lichtmetaphorik, durch sprachliche Erweiterung wird der Bruch jedoch verstärkt
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im					
	Dunklen bleiben.					
						
	Der Mensch hat zwar theoretisch gelernt sich als einen	x	Stamm	der organischen Welt	A	schwacher Bruch, sprachlich irregulär, pointiert
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu					
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-					
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt					
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den					
	sie dem Menschen bringen.					
						
	Er leuchtet nur in diejenigen Erscheinungen					
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung	x	mit dem Lichte	seiner Vernunft	A	Bruch, pointiert, Abgedroschene Lichtmetapher, nahe an der Floskel
	der menschlichen Wohlfahrt erwartet.					
						
	Eine Gesetz-					
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-	x	ihre Kräfte nutzlos vergeuden und zu Grunde gehen	Eine Gesetzgebung	B	Bruch, sprachlich irregulär, pointiert
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution					
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos					
	vergeuden und zu Grunde gehen.					
						
	Viel Streit hat sich über die Frage erhoben, durch welche Umstände	x	aus der Tierheit	aufgeschwungen	A	sprachlich irregulär, pointiert, nicht einfach ersetzbar „sich (zum Herrscher) aufschwingen ist eine Floskel. Nur das „aus der Tierheit“ macht den Ausdruck besonders und erzeugt einen leichten Bruch.
	sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de					Man könnte „aus der Tierheit“ eigentlich sogar weglassen, dann wäre es keine Metapher mehr, sondern nur noch eine Floskel ohne Bruch.
	facto zum Herrscher über alle anderen Tiere gemacht hat.					Der Sinn wäre nur wenig verändert.
						
	Das Gebiet					
	positiven Wissens über den Gang der menschlichen Entwickelung beginnt	nein				Eher Floskel. Kein wirklicher Bruch, nur etas blumig.
	aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.					
						
	Nur soweit ein Bedürfnis gebieterisch Befriedigung	nein				Dass ein Bedürfnis Befriedigung verlangt, ist kein auffälliger Ausdruck (kein Bruch)
	verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem					Nur das „gebieterisch“ macht ihn etwas auffällig. Aber trotzdem kein Bruch
	Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.					
						
	Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeits-	x	der Vermutungen	Gebiet	A	Leichter Bruch. sprachlich irregulär, pointiert
	gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde					
	oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu					
	erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet					
	der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit be-					
	gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.					
						
	»Unter der ausschließlichen Herrschaft des Rechts	nein				Man kann ja auch seinem Untergang entgegen gehen.
	des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner					Seiner Auflösung entgegengehen erscheint mir nur als eine Modifikation dieser Floskel
	Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben					
	in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft					
