Abschnitt	Stelle	B	K	P	A
Beispiele					
	Bei Beobach-	x	x	x	x
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""				
					
	Die Zellen verschmelzen miteinander.	nein	nein	nein	nein
					
	Diese wolle die bittere Auslese, ohne die auch dem	x	x	x	x
	Menschen kein Fortschritt möglich sei, einschränken.				
					
Ruppin 0-29					
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	x	x	x	nein
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-				nein
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird		x		x
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn				
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen				
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-				
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden				
	sein werden.				
					
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein	nein	nein	nein
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-				
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die				
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der				
	Singdrosseln zur Folge gehabt.				
					
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein		x	
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,				nein
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-		x		
	hunderte und Jahrtausende abgemüht haben.		x		nein
					
	So verlockend es nun mit-	nein		x	
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-		x		
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch		x		nein
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch				
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu				
	machen.				
					
	Man kann vielmehr in das Getriebe des gesell-	x	x	x	x
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,		x	x	x
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-				
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.				
					
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	nein	nein	nein	
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen				
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,				
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der				
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.				Grenzfall
					
	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht	x		x	
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze		x		
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,		x		x
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.				
					
	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der	x		x	
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste				
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner			x	nein
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen		x	x	x
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im		x		
	Dunklen bleiben.		x		x
					
	Der Mensch hat zwar theoretisch gelernt sich als einen	x	nein	x	
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu				x
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-				
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt				
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den				
	sie dem Menschen bringen.				
					
	Er leuchtet nur in diejenigen Erscheinungen	x	nein		
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung			x	x
	der menschlichen Wohlfahrt erwartet.				
					
	Eine Gesetz-	nein	nein		
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-			x	
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution				
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos				
	vergeuden und zu Grunde gehen.				
					
	Viel Streit hat sich über die Frage erhoben, durch welche Umstände	nein	nein	x	
	sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de				
	facto zum Herrscher über alle anderen Tiere gemacht hat.				
					
	Das Gebiet	nein	nein		
	positiven Wissens über den Gang der menschlichen Entwickelung beginnt			nein	x
	aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.				x
					
	Nur soweit ein Bedürfnis gebieterisch Befriedigung	nein	nein	nein	x
	verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem				
	Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.				
					
	Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeits-	nein	nein	x	
	gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde				
	oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu				
	erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet				nein
	der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit be-				
	gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.				
					
	»Unter der ausschließlichen Herrschaft des Rechts	nein	nein	nein	
	des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner				
	Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben				x
	in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft				
	deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt				
	werden.				
					
	Eine weitere Folge der	nein	nein	nein	
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der				
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die				x
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-				
	fiel.				
					
	Die Folge ist, daß	nein	nein	x	
	selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten				
	mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener				nein
	Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die				nein
	erst allmählich durch das territoriale Zusammenleben und gegenseitige				
	Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.				
					
	Die Nationalitätenkämpfe des	nein		nein	
	19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich)				
	beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm		x		nein
	in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähn-				
	lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück-				
	stößt, noch nicht erloschen ist.		x		
					
	Der Geist der alten Horde (gens) protestiert	nein	nein	nein	nein
	gegen das Territorialitätsprinzip des modernen Staates.				
					
	Sobald aber eine	nein	nein	nein	nein
	Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der				
	Sitte ganz ausgemerzt zu werden.				
					
	Die Sitte approbiert nämlich immer nur	nein	nein	nein	nein
	die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen				
	- d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde				
	sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von				
	der Sitte gemißbilligt und allmählich verhindert worden.				
					
	Indem das Verhältnis durch die Sitte be-	nein	nein	nein	nein
	festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen				
	nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch				
	eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten,				
	sondern nur an Mitglieder fremder Stämme verheiratet werden durften.				
					
	In dieser Form finden	x		x	
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier				
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-		x		x
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen				
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote				
	für Seitenverwandte bestehen, die derselben Generation angehören.				
					
	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das	x		x	
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn				
	befähigt hat, in die Werkstatt der Natur einzudringen.		x		x
					
	Die Religion hat ihre größte	x		nein	
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche				
	Leben von der Religion durchtränkt ist.		x		x
					
	Mühsam und Schritt	nein	nein	nein	
	für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kultur-				x
	reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den			nein	
	Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem				
	Flusse begriffen.				
					
	In demselben Moment, in dem die wissenschaftliche Er-	nein	x	x	
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt		x		x
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung				
	auf, ein religiöses Objekt zu sein.				
					
	Die Religion hat in	nein	x	x	x
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen				
	der Wissenschaft noch nicht abgeschlossen sind.				
					
30-59	Ohne solche Regeln würde	x	nein	nein	x
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen				
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert				
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,				
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben				
	von Menschen sein würde.				
					
	Aber noch ist die Zeit nicht gekommen, zu verlangen, daß	nein	nein	nein	x
	nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten.				
	Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse				
	und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen				
	verschiedener Nationen ist auch eine Realität.				
					
	Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und	nein	nein	x	nein
	verschiedene Nationen zusammenzuschweißen, gescheitert sind.				
					
	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	nein	nein	x	x
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden				
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden				
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der				
