Agreement	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (A, B, C)	Begründung	Kommentar
2	Ohne solche Regeln würde						
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen	x	in Atome zersplittern	Gesellschaft	C	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft	gemeinsam: ersetzbar also blumige Redewendung
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert						
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,						
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben						
	von Menschen sein würde.						
							
1	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	x	das ganze künstliche Gebäude in sich zusammenstürzt	unserer Existenz	B	Steigerung und Pointierung durch Semantikanreicherung, Bruch, nicht ersetzbar	gemeinsam: keine Spannung, Ausdruck wird nur bildhaft wiederholt
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr						
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze						
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages						
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-						
	liche Gebäude in sich zusammenstürzt.						
							
1	Die Menschheit	x	auf Klippen zu stoßen	Verletzung der biologischen Gesetze	B	Irritation, Bedeutungserweiterung, nicht austauschbar, Pointierung, ergänzt durch metaphorische Floskel	gemeinsam: entweder Vergleich oder keine Spannung, also keine Metapher
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation						
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür						
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-						
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente						
	ihres stolzen sozialen Baues zu unterminieren.						
							
