fv	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (Á, B, C)	Begründung	Kommentar
Ziffer/ Einigkeit		Die Ergebnisse hier sind kompromissbehaftete Mittelungen aus den vier erfolgten Annotationen					
							
0 4 None	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	x	ein gesichertes Fundament und die ersten Pfeiler zu legen/den vollendeten Bau errichten	die Lösung der hier zur Bearbeitung gestellten Aufgabe	A	schwacher Bruch, semantische Erweiterung, nicht ersetzbar	
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-						
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird						
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn						
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen						
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-						
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden						
	sein werden.						
							
4 4 None	Man kann vielmehr in das Getriebe des gesell-	x	Getriebe	des gesellschaftlichen Lebens	A	Bruch, pointiert, aber übliche Metapher	
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,	x	Leuchte	der Wissenschaft	A	schwacher Bruch, pointiert, übliche Metapher	
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-						
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.						
							
6 4 None	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht	x	fast die ganze Außenwelt lückenlos umspannen	des Menschen Interessen	B	Irritation, unersetzlich, Bedeutungserweiterung, sprachlich irregulär	
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze						
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,						
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.						
							
7 3 None	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der	x	Vom Lichte seiner Vernunft am intensivsten beleuchtet werden	Gebiete	B	Bruch, pointiert, übliche Lichtmetaphorik, durch sprachliche Erweiterung wird der Bruch jedoch verstärkt	nur von P gänzlich korrekt erkannt!
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste						
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner						
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen						
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im						
	Dunklen bleiben.						
							
8 3 None	Der Mensch hat zwar theoretisch gelernt sich als einen	x	der organischen Welt	Zweige am Stamme	B	Metapher in einem Vergleich, vom Bild des Baumes zum abstrakten Ausdruck der organischen Welt erzeugt einen Bruch und erweitert das Bild	Uneinigkeit im Detail; hier Bs Lösung
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu						
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-						
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt						
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den						
	sie dem Menschen bringen.						
							
9 3 None	Er leuchtet nur in diejenigen Erscheinungen	x	mit dem Lichte	seiner Vernunft	A	Bruch, pointiert, Abgedroschene Lichtmetapher, nahe an der Floskel	
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung						
	der menschlichen Wohlfahrt erwartet.						
							
23 4 None	In dieser Form finden	x	verpflanzt	Eheverbot	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar ohne die Augenfälligkeit des Ausdrucks zu zerstören	
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier						
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-						
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen						
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote						
	für Seitenverwandte bestehen, die derselben Generation angehören.						
							
24 4 None	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das	x	Werkstatt	der Natur	B	Bruch, Bedeutungserweiterung, nicht austauschbar	
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn						
	befähigt hat, in die Werkstatt der Natur einzudringen.						
							
25 3 None	Die Religion hat ihre größte	x	von der Religion durchtränkt ist	das ganze gesellschaftliche Leben	B	bildlicher Ausdruck, der aber einen Bruch erzeugt und die Semantik anreichert, nicht austauschbar	
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche						
	Leben von der Religion durchtränkt ist.						
							
27 3 None	In demselben Moment, in dem die wissenschaftliche Er-	x	den Zauber der Dunkelheit	die wissenschaftliche Erkenntnis der Natur den Erscheinungen 	B	Bruch, sprachlich irregulär, pointiert, nicht ersetzbar. An sich eine eher übliche Lichtmetaphorik aber besonders ausgestaltet, sodass sie einen stärkeren Bruch erzeugt	
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt						
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung						
	auf, ein religiöses Objekt zu sein.						
							
28 3 None	Die Religion hat in	x	die Eroberungen	der Wissenschaft	B	Bruch, pointiert, sprachlich irregulär, nicht ohne Weiteres ersetzbar	
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen						
	der Wissenschaft noch nicht abgeschlossen sind.						
							
35 4 None	Will die Gesellschaft die natürliche Auslese befördern,	x	in den Dienst spannen läßt	keines anderen Zieles	B	Bruch, Erweiterung der Semantik, sprachlich irregulär, pointiert, nicht ersetzbar. Der Fokus irritiert hier, weil etwas Abstraktes wie ein physisches Objekt bzw. ein Nutztier behandelt wird.	
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-						
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel						
	hat und sich in den Dienst keines anderen Zieles spannen läßt.						
							
36 3 None	Wir sind hiermit insoweit ganz einverstanden, als	x	ausjätet	die natürliche Auslese	A	Steigerung und Pointierung durch Semantikanreicherung, ungewöhnlicher Sprachgebrauch, Bruch etc.	
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen						
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als						
	möglich organisiert sind.						
							
39 3 None	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit	x					Stelle zwar von dreien als metaphorisch markiert, aber völlige Uneinigkeit über das Warum
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur						
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die						
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen						
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und						
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-						
	gepaßt sind.						
							
46 4 None	»Es ist nun noch daran zu er-	x	eine fast unerschöpfliche Musterkarte	für die natürliche Auslese	B	"Bruch, Verweisung auf andere Semantik, nicht austauschbar, zudem unrealistische Steigerung und Übertreibung durch ""unerschöpflich"""	
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.						
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-						
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder						
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-						
	karte für die natürliche Auslese dargeboten wird.						
							
52 3 None	So wäre es denn nicht die Tatsache der Bluts-	x	einen geeigneten Boden vorfinden	in einer mangelhaften Konstitution des Vaters und der Mutter	A	Floskelverdacht, der Nährboden für alles mögliche ist ein häufiges Bild, es irritiert daher auch in diesem Zusammenhang nur gering, verweist zwar auf Agrarthematik, deren Bedeutung aber wohl verzichtbar wäre	
	verwandtschaft an sich, welche für die Nachkommenschaft eine ungünstige						
	Prognose bietet, sondern die Blutsverwandtschaft wird erst schädlich, wenn						
	sie in einer mangelhaften Konstitution des Vaters und der Mutter einen						
	geeigneten Boden findet.						
							
