Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
Schallmeyer S. 1-20										
	Aber das bedeutendste Ereignis war doch die Geburt und der Sieges-	x	die Geburt und der Siegeslauf	der Darwinschen Descendenztheorie	ja	unklar	ja	ja	B	Geburt und Siegeslauf ersetzbar mit Entstehung und Erfolg/Verbreitung (wobei zweiteres schwieriger zu ersetzen)
	lauf der Darwinschen Descendenztheorie.									
										
	Sie führte nicht nur zu einer Um-	x	überraschendes Licht	die Geisteswissenschaften / durch den Darwinschen Entwicklungs- und Selektionsgedanken	ja	ja	ja	ja	B	"""Licht-""Thematik in diesem Kontext führt zum Bruch"
	wälzung der Anschauungen auf den verschiedenen Gebieten der organischen Natur-									
	wissenschaften, denen sie neue Bahnen wies, sondern auch die sogenannten									
	Geisteswissenschaften erhielten durch den Darwinschen Entwicklungs- und									
	Selektionsgedanken überraschendes Licht.									
										
	Erst	nein								Ersetzbar (Verschmelzung -> Zusammenführung)
	durch die Verschmelzung der Descendenztheorie mit der Selektionstheorie									
	wurde die Abstammungslehre eine Macht, die trotz des heftigen Widerstandes,									
	den alte Vorurteile und großmächtige Interessen ihr sofort entgegengesetzt									
	haben, unaufhaltsam sich Bahn gebrochen hat und wohl auch den gerade									
	gegenwärtig heftig gewordenen Ansturm dieser Mächte ohne Schaden be-									
	stehen wird.									
										
	Aber zu Heraklits Zeit wurde der Same zu dieser Er-	x	Same ... ausgestreut	zu dieser Erkenntnis	ja	ja	ja	ja	B oder C	Biologischer Ausdruck in diesem Kontext, Bruch vorhanden 
	kenntnis vergeblich ausgestreut.									
										
	Die Naturwissenschaft war nicht entwickelt	x	zu reifen	die heutige Entwicklungslehre	unklar	ja	unklar	ja	A 	"""befruchten lassen"" eher Floskel, allerdings Steigerung mit ""reifen lassen"" -> unklar, zumindest sehr grenzfällig. Aber Rahmen und Bruch klar erkennbar."
	genug, um sich von seinen Gedanken befruchten zu lassen und die heutige									
	Entwicklungslehre zu reifen.									
										
	Alle	x	den Pinsel geführt haben	äußere Lebensbedingungen	ja	ja	ja	ja	B	Bruch findet statt, nicht ersetzbar
	diese Tatsachen beweisen,									
	"daß nicht innere Bildungsgesetze, sondern äußere Lebensbedingungen 
den Pinsel geführt haben."									
										
	In der allerneuesten Zeit ist man von der Befehdung der Darwin-	x	Befehdung, Krieg	der Darwin-schen Selektionstheorie; gegen die Abstammungslehre	ja	ja	ja	ja	B	Kriegsbegriffe in diesem Kontext, Bruch vorhanden
	schen Selektionstheorie offen zum Krieg gegen die Abstammungslehre selbst									
	übergegangen.									
										
	Durch die reichen Forschungsergebnisse der letzten Jahrzehnte über die	nein								erneut diese Licht-Dunkel-Thematik. Würde es maximal als Grenzfall aufnehmen. Da ersetzbar: Durch die Forschungsergebnisse wurde das schwer Verständliche aufgeklärt/erörtert
	Vorgänge bei der Reifung der Keimzellen und bei der Befruchtung ist das									
	Dunkel, das bisher über die Tatsachen der Vererbung und der Variation									
	lag, beträchtlich gelichtet worden.									
										
S. 21-40										
	Das wurde in unzweifelhafter Weise zuerst	nein								"""weitere Entdeckungen auf dem Gebiete"" fällt zunächst auf, aber besonders kreativ ist das nicht, klingt schon so floskelhaft, da oft Gebiet im Kontext, allerdings durch ""Entdeckungen"" -> Grenzfällig?"
	1888 und dann ausführlicher 1896 von R. Hert-									
	wig nachgewiesen, und in den letzten Jahren sind									
	verschiedenen Forschern (T. H. Morgan, J. Loeb,									
	H. E. Ziegler, H. Winkler, E. B. Wilson u. a.)									
	noch weitere Entdeckungen auf dem Gebiete der									
	künstlichen Parthenogenese geglückt.									
										
	Im Frühjahr 1875 machte Oskar Hertwig unter Häckel's Augen	nein								"""Wendepunkt"" = Floskel"
	in Ajaccio seine Entdeckungen über den Befruchtungsvorgang bei den See-									
	igeln, die, wie Bölsche 2) bemerkt, bis in ferne Zeiten einen Wendepunkt in									
	der Geschichte unserer Kenntnis vom geschlechtlichen Zeugungsakt, einem der									
	tiefsten Mysterien der Natur, bilden werden.									
										
	Natürlich war dieses wichtige	nein								"""emsig"" -> unermüdlich"
	Forschungsgebiet, das auf jeden Biologen so große Anziehungskraft ausübt,									
	wie kaum ein anderer Teil seiner Wissenschaft, inzwischen unablässig Gegen-									
	stand emsigster Arbeit.									
										
	Wie die Descendenzlehre	nein								
	überhaupt, ist auch das biogenetische Grundgesetz in neuester Zeit Gegen-									
	stand sachwissenschaftlicher Angriffe.									
										
	Da diese Theorie uns erst den Schlüssel zum Ver-	x	den Schlüssel zum Verständnis	diese Theorie ... uns liefert	ja	unklar	unklar	ja	A 	"Ersetzbar mit ""Zugang"", ""Brücke"", würde eher als Grenzfall aufnehmen "
	ständnis der Vererbungserscheinungen liefert, und da dieses Verständnis, wie									
	wir sehen werden, auch praktische Bedeutung hat, so muß hier, was es auch									
	koste, der Versuch gemacht werden, eine gemeinverständliche Darstellung der									
	Weismannschen Lehre 1) zu geben, ein Versuch, der fortwährend mit der									
	Schwierigkeit zu kämpfen haben wird, die gebotene Rücksicht auf Kürze mit									
	der nicht minder gebotenen Rücksichtnahme auf Gemeinverständlichkeit zu									
	vereinbaren.									
										
	Dem genialen Bau der Weismannschen Vererbungstheorie liegt die	nein								
	Lehre von der Kontinuität des Keimplasma zugunde.									
										
	Obgleich jedes Id sämtliche zur Entwicklung eines Individuums ge-	nein								eher blumig ausgedrückt, konkreter Rahmen nicht aufzufinden 
	hörende Anlagen enthält, so ist doch die Prägung eines neuen Individuums									
	nicht einem einzelnen von ihnen anvertraut, sondern wird durch das Zu-									
	sammen- und teilweise auch Entgegenwirken mehrerer Ide von individueller									
	Verschiedenheit bestimmt. Nicht das monarchische Prinzip herrscht hier,									
	sondern es regiert die Resultante aus konkurrierenden Kräften.									
										
S. 41-60										
	Wenn beim einen wie beim andern Elter gelegentlich Keimzellen produziert werden, bei	nein								
	denen die Reduktionsteilung so erfolgt, daß gerade die Ide, welche die betreffenden Vor-									
	fahrendeterminanten, beziehungsweise Gruppen solcher, noch besitzen, sämtlich in der Keim-									
	zelle enthalten sind, und wenn die Amphimixis gerade diese seltenen Keimzellen von beiden									
	Eltern zusammenführt, so kann es — bei alten Rassen allerdings nur dann, wenn dieser									
	Zufall sich mehrmals wiederholt und seine Ergebnisse sich anhäufen — dazu kommen, daß									
	die alten, nicht abgeänderten Determinanten bei der Ontogenese den Sieg über die modernen									
	erringen.									
										
	"""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden,"	nein								Oberhand gewinnen = verbreitete Floskel
	so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden									
	gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten									
	Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente —									
	Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu									
	"erzeugen, gewinnt die Oberhand 2)."""									
										
	Es kann z. B. vorkommen, daß die Determinantenart a in allen oder fast allen	x	Bundesgenossen	auf der väterlichen Seite	ja	ja	ja	ja	A oder B	Kriegsbegriff in der Biologie fällt schon auf, allerdings ist Rahmen nicht so ganz klar -> Grenzfall
	väterlichen Iden homodynam ist (a1), während sie in den mütterlichen Iden nur durch eine									
	Minorität (a1) vertreten ist und die große Mehrheit der mütterlichen Ide eine andere									
	Variante (a2) dieser Determinantenart besitzt. Nach erfolgter Amphimixis wird die im									
	mütterlichen Keimplasma dominierende Variante (a2) gegenüber der im väterlichen domi-									
	nierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1									
	aus den väterlichen homodynam sind, während a2 auf der väterlichen Seite keine Bundes-									
	genossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine									
	Minorität auf der väterlichen Seite zwar nicht a1, aber auch nicht a2, sondern eine									
	Variante a3 besitzt.									
										
	Jede Änderung bereitet sich langer Hand	nein								
	allmählich vor, ehe sie sichtbar wird.									
										
	Sobald	nein								"""Ausmerzen"" ist ein ""sozialhygienischer"" Fachausdruck"
	aber das Herabsinken einen Punkt erreicht, auf dem die Existenzfähigkeit be-									
	einträchtigt wird, greift die Naturzüchtung ausmerzend wieder ein und ver-									
	hindert dadurch ein weiteres Sinken. Unter Umständen kann sich dieses Aus-									
	merzen auf ganze Stämme und Völker erstrecken, bei Tieren wie bei Menschen.									
										
S. 61-70										
	Die feine Einstellung der Variationen	nein								"""Ausmerzen"" ist ein ""sozialhygienischer"" Fachausdruck"
	aber wird durch Selektionsvorgänge zwischen den Elementen des									
	Keimes bewirkt, deren Richtung jedoch durch die Personalselektion									
	bestimmt wird, sofern diese entweder die Plus- oder die Minus- 									
	variationen ausmerzt, sobald sie Selektionswert erreichen, und 									
	dadurch die Keimvariationen der entgegengesetzten Seite zu-									
	treibt.									
										
	Speziell in	nein								
