Stelle	Metapher?
Die naturwissenschaftliche Betrachtung führt zu demselben Ergebnis.	
Die Kurve hat die Form eines flachen und zackigen Berges2).	
In manchen Ländern haben die Bewohner der grölzeren Städte eine mehr langköpfige Bevölkerung im Vergleich zu der ländlichen Bevölkerung.	
Die geistigen Anlagen vererben sich in derselben Weise wie die körperlichen.	
Die mittlere Begabung ist die häufigste, hervorragende Begabung ist seltener, grobes Talent sehr selten.	
Neben dem geistlichen Stande entwickelte sich ein neuer Lehrstand, welcher nicht direkt von der kirchlichen Organisation abhängig und nicht unbedingt an den Kirchenglauben gebunden ist.	
Der bessere Erfolg oder die höhere Leistung soll belohnt werden.	
In einem späteren Abschnitt dieses Buches wird dargelegt werden, dalz persönliches Eigentum schon auf niederen Kulturstufen vorkommt und daß das Privateigentum mit der Einführung des Ackerbaues und der Viehzucht eine grobe Bedeutung erlangte.	
Indem der Verdienst des einzelnen Menschen durch seine Leistung oder Arbeit bedingt ist, kann nicht bezweifelt werden, da das Gesamteinkommen, welches sich aus Vermögenszinsen und Verdienst zusammensetzt, stets zu den ererbten Anlagen des Geistes und des Charakters in Beziehung steht.	
Das ist aus der Vererbungslehre leicht begreiflich.	
Ein Prinz würde bei der Wahl seiner Braut besser seiner Neigung folgen und auch auf die körperliche und geistige Gesundheit der Braut und ihrer Familie in höherem Maße achten können.	
Es ist ein undurchführbarer Plan, die Verschiedenheit der Vorbildung aufheben zu wollen.	
Dann bleiben sie voraussichtlich unverheiratet, und die guten Anlagen werden nicht fortgepflanzt.	
Die Quartiere der Minderwertigen sind die Brutstatten der moralischen Verkommenheit und auberdem die bestandigen Seuchenherde ver- schiedener Infektionskrankheiten, insbesondere der ansteckenden Geschlechtskrankheiten.	x
Durch Stipendien unterstützt, absolvierte der junge Mann das Gymnasium und studierte Philologie.	
Denn unser Strafrecht beruht auf der Lehre von der Willensfreiheit.	
Aber unser Strafrecht gewährt dazu keine Möglichkeit.	
Der älteste Sohn war an einem nicht völlig aufgeklärten Morde beteiligt und starb im Zuchthaus.	
Die allzu einseitige, schwache, feige und blinde Humanität unserer Gesellschaft begnügt sich im Gegenteil oft damit, freizusprechen und laufen zu lassen, ohne den Mut zu haben, Präventionsmaßregeln zu ergreifen, die sich immer dringender notwendig machen gegen das Verbrechen und seine Ursachen, wie gegen die Degeneration der Rasse.	
Wenn der junge Mann 30 Jahre alt geworden ist, hat er in der Regel einen Anfangsgehalt erreicht, der gerade für seine persönlichen Bedürfnisse ausreicht, so daß von einer Verheiratung noch nicht die Rede sein kann, wenn kein Privat- vermögen vorhanden ist.	
Aber über die Frage, mit welchen Mitteln dieses Ziel erreicht werden soll, gehen die Meinungen weit auseinander.	
Unter primitiven Verhältnissen ist die Frau dem Manne untertan.	
Bei Lehrerinnen, Buchhalterinnen und manchen anderen weiblichen Berufen erscheint der Beruf mit der Verehelichung nicht vereinbar.	
Die Zahl der Geborenen betrug, auf 1000 Personen der Bevölkerung berechnet, im Jahre 1870 40, 1875 42, 1900 37, 1910 31, 1913 28.	
Deutschland hatte vor dem Krieg eine jährliche Zunahme von 82 000.	
Das Familienleben der Affen ergibt sich zunächst daraus, da die Mutter eine große Liebe zu ihren Kindern besitzt und da die Kinder langsam heranwachsen und lange bei der Mutter bleiben.	
In demokratischen und sozialdemokratischen Schriften treten uns oft die Gedanken Rousseau entgegen, obgleich die Verfasser diese oberste Quelle ihrer Ansichten nicht nennen und meistens nicht einmal kennen.	
Er lernt sogar die Sprache der Menschen verstehen und kann auch durch Worte seine Gedanken kund geben, wenn man ihm die Möglichkeit gibt, durch Klopfen Buchstaben zu bezeichnen.	
Der Mensch war schon in den Urzeiten dem Kampf ums Dasein ausgesetzt, hat also niemals mühelos und gefahrlos gelebt.	
