,Textstelle,Metapher?,Fokus,Rahmen,Annotator,Filename
0," Bei Beobachtung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."" tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen.""",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
1, Die Zellen verschmelzen miteinander.,Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
2," das 19. Jahrhundert schließt in dieser Hinsicht mit einem großen Fragezeichean »Umwertung aller Werte!« so lautet das Schlagwort oder der Schlachtruf des Ethikers, dessen Stimme im letzten Jahrzehnt am weitesten gedrungen ist; jedoch hat auch dieser Komet am Himmel der Philosophie nur eine grelle Beleuchtung, nicht aber eine Lösung der Probleme hinterlassen, um die es sich hier handelt.",Metapher,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
3," Das Gefühl ist ein Zeuge des jeweilig obwaltenden Verhältnisses, aber kein Prophet des zukünftig eintretenden. hältnisses, aber kein Prophet des zukünftig eintretenden.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
4," Der erste Fall bricht die Schutzwehr nieder, die den guten von dem schlimmen Wege trennt.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
5," Mit dem ersten Fehltritt ist die abschüssige Bahn betreten, die zu einem Abgrund führt.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
6," Das gilt auch nicht bloß von der ersten Entscheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden: scheidung obwohl sie eine besondere Wichtigkeit hat, sondern wieder von jeder folgenden: jede drückt die Spur tiefer ein, bis zuletzt ein Herausbiegen zur vollen Unmöglichkeit wird.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
7," Wie manche Pflanzen Keime hervorbringen, die durch die Luft herumgeführt werden, bis sie auf einen geeigneten Nährboden fallen und aufgehen, so bringen auch gute und böse Handlungen gleichsam Keime hervor, die in der moralischen Atmosphäre allenthalben herumschwärmen, bis sie, durch Augen und Ohren einfallend in Menschenseelen, geeigneten Boden finden und aufgehen.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
8," Die Strafe steht vor der Tür, der Becher des Zornes ist bis an den Rand gefüllt« u. s. w.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
9," Aber die Jahrhunderte sind wie ein großes Sieb, das die Spreu von dem Weizen sondert.",Metaphernkandidat,,,GoldStandard,Matzat_Stufe2_Vergleich.tsv
