,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
0,," Bei Beobachtung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."" tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen.""",Metapher,das Horoskop stellen,einer Nation,B,"Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)",B,,,,,
1,, Die Zellen verschmelzen miteinander.,Metaphernkandidat,,,,Fachausdruck,B,,,,,
2,," Diese wolle die bittere Auslese, ohne die auch dem Menschen kein Fortschritt möglich sei, einschränken.",Metapher,bittere,Auslese,A,"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts EIngeführtes, also keine Floskel.",B,,,,,
3,," Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Aufgabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird nach seiner Überzeugung erst eine spätere Generation errichten können, wenn die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer geschichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden sein werden.",Metapher,ein gesichertes Fundament und die ersten Pfeiler zu legen/den vollendeten Bau errichten,die Lösung der hier zur Bearbeitung gestellten Aufgabe,A,"Bruch, Fokus nicht ohne Bedeutungsverlust ersetzbar, nah an Floskel, doch durch den detailreichen Ausbau (Pfeiler) metaphorisch",B,,,,,
4,," In Californien ist ebenso die früher dort heimische weiße Ratte von der zu Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Vereinigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der Singdrosseln zur Folge gehabt.",Metaphernkandidat,,,,"kein Bruch, nur auffälliger Ausdruck, keine Bedeutungserweiterung, ersetzbar",B,,,,,
5,," Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete ihrer Beantwortung harren und in der folgenden Arbeit berührt werden, sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahrhunderte und Jahrtausende abgemüht haben. hunderte und Jahrtausende abgemüht haben.",Metaphernkandidat,,,,"übliche Ausdrucksweise, kein Bruch etc.",B,,,,,
6,," So verlockend es nun mitunter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus- unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich ausgestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu machen.",Metaphernkandidat,,,,vermutlich damals übliche Floskel,B,,,,,
7,," Man kann vielmehr in das Getriebe des gesellschaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen, schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen, wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichtspunkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt. punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.",Metapher,Leuchte der Wissenschaft,in das Getriebe des gesellschaftlichen Lebens,B,"Bruch, semantische Erweiterung, nicht ersetzbar, das Leben als Getriebe tendenziell floskelhaft, stützt aber das Bild der Leuchte und damit die Metaphorizität der Stelle",B,,,,,
8,," Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissenschaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen, weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.",Metaphernkandidat,,,,"eindeutiger Vergleich, zwar unterstützt durch das Ineinandergreifen, dies aber üblicher Ausdruck",B,,,,,
9,," Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist, das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.",Metapher,fast die ganze Außenwelt lückenlos umspannen,des Menschen Interessen,B,"Irritation, unersetzlich, Bedeutungserweiterung, eine Welt lässt sich eigentlich nicht umspannen",B,,,,,
10,," Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner Vernunft am intensivsten beleuchtet werden, während das Licht nach außen zu immer schwächer wird und die entferntesten Gebiete beinah ganz im Dunklen bleiben.",Metapher,Lichte,seiner Vernunft,B,"Bruch, semantische Erweiterung, unersetzlich, im Satzende nochmal pointiert",B,,,,,
11,," Der Mensch hat zwar theoretisch gelernt sich als einen Zweig wie tausend andere Zweige am Stamme der organischen Welt zu betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos anzuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den sie dem Menschen bringen.",Metapher,der organischen Welt,Zweige am Stamme,B,"Metapher in einem Vergleich, vom Bild des Baumes zum abstrakten Ausdruck der organischen Welt erzeugt einen Bruch und erweitert das Bild, ",B,,,,,
12,," Er leuchtet nur in diejenigen Erscheinungen mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung der menschlichen Wohlfahrt erwartet.",Metapher,Lichte,seiner Vernunft,A,"Bruch, semantische Erweiterung, unersetzlich, aber überraschende Wiederholung der vorvorigen Metapher",B,,,,,
