,Annotator,Filename,Fokus,Metapher?,Rahmen,Textstelle
0,X,nus1_2_matzat_bereinigt.txt,,Nein,,Eine sammlung von preisscliristenz Herausgegeben von prof. P. S. S. Ziegler in Verbindung mit Drob Dr. Sonraa und Drob Dr. Saeclrel Erster Teil.
1,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Januar 1900 veröffentlichten die Professoren Haeckel (Jena), Conrad (Halle) und Fraas (Stuttgart) das unten mitgeteilte Preisaus- schreiben."
2,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Unter den 60 Abhandlungen und Schriften, welche am festgesetzten Termin einliefen, haben acht Arbeiten Preise erhalten und wurden noch einige andere zur Publikation erworben."
3,X,nus1_2_matzat_bereinigt.txt,,Nein,,In dem vorliegenden Sammelwerke werden sieben von den Preisarbeiten und drei von den letztgenannten Ab- handlungen veröffentlicht.
4,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Es folgt hier zunächst das Preisausschreiben, welches das Thema mit den zugehörigen Erläuterungen enthält und welchem die Bestimmungen der Preisverteilung beigefügt sind."
5,X,nus1_2_matzat_bereinigt.txt,,Nein,,Sodann folgen einige Mitteilungen über die Gesamtheit der eingegangenen Abhandlungen und über die Preis- verteilung.
6,X,nus1_2_matzat_bereinigt.txt,,Nein,,Zur Förderung der Wissenschaft und im Interesse des Vaterlandes ist den Unterzeichneten die Summe von 30 000 Mk.
7,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Indem wir das Thema ver- öffentlichen und die Bestimmungen beifügen, nach welchen die Erteilung der Preise erfolgen wird, richten wir an wissenschaft- lich gebildete Männer die Aufforderung, sich der Bearbeitung Der interessanten und zeitgemäßen Aufgabe zu widmen."
8,X,nus1_2_matzat_bereinigt.txt,,Nein,,Thema: Was lernen wir aus den Prinzipien der Descendenztheorie in Beziehung auf die innerpolitische Entwickelung und Gesetzgebung der Staaten?
9,X,nus1_2_matzat_bereinigt.txt,,Nein,,"Sie bedingt die natürliche Veranlagung des Menschen seine angeborenen (ererbten) Geistes- und Charaktereigenschaften, seine egoistischen Triebe, Familientriebe, sozialen Triebe etc."
